pick_up_zone,drop_off_zone,weight
90.0,24.0,380
90.0,41.0,783
90.0,42.0,591
90.0,43.0,2010
90.0,45.0,514
90.0,48.0,12936
90.0,50.0,3236
90.0,68.0,16029
90.0,74.0,544
90.0,75.0,1024
90.0,79.0,9419
90.0,87.0,2008
90.0,88.0,556
90.0,90.0,8955
90.0,100.0,7489
90.0,107.0,11236
90.0,113.0,7249
90.0,114.0,5340
90.0,116.0,556
90.0,120.0,30
90.0,125.0,3446
90.0,127.0,206
90.0,128.0,30
90.0,137.0,4148
90.0,140.0,1637
90.0,141.0,2723
90.0,142.0,4399
90.0,143.0,1595
90.0,144.0,3664
90.0,148.0,2731
90.0,151.0,1058
90.0,152.0,280
90.0,158.0,6433
90.0,161.0,12733
90.0,162.0,4358
90.0,163.0,4756
90.0,164.0,10708
90.0,166.0,718
90.0,170.0,9484
90.0,186.0,5807
90.0,209.0,488
90.0,211.0,4486
90.0,224.0,1840
90.0,229.0,2456
90.0,230.0,6887
90.0,231.0,7585
90.0,232.0,1090
90.0,233.0,2847
90.0,234.0,12213
90.0,236.0,3006
90.0,237.0,4150
90.0,238.0,2027
90.0,239.0,3007
90.0,243.0,444
90.0,244.0,744
90.0,246.0,11543
90.0,249.0,14358
90.0,261.0,1479
90.0,262.0,1208
90.0,263.0,1628
100.0,4.0,903
100.0,12.0,126
100.0,13.0,2033
100.0,24.0,447
100.0,41.0,757
100.0,42.0,697
100.0,43.0,4428
100.0,45.0,481
100.0,48.0,11056
100.0,50.0,4373
100.0,68.0,7296
100.0,74.0,775
100.0,75.0,1604
100.0,79.0,4643
100.0,87.0,1699
100.0,88.0,842
100.0,90.0,5587
100.0,100.0,8612
100.0,107.0,6607
100.0,113.0,3326
100.0,114.0,2500
100.0,116.0,448
100.0,120.0,66
100.0,125.0,1624
100.0,127.0,230
100.0,128.0,28
100.0,137.0,4215
100.0,140.0,2935
100.0,141.0,4690
100.0,142.0,6245
100.0,143.0,2223
100.0,144.0,2392
100.0,148.0,1560
100.0,151.0,1216
100.0,152.0,290
100.0,158.0,2721
100.0,161.0,24195
100.0,162.0,8690
100.0,163.0,9545
100.0,164.0,8897
100.0,166.0,932
100.0,170.0,11524
100.0,186.0,5827
100.0,209.0,438
100.0,211.0,2711
100.0,224.0,1040
100.0,229.0,3481
100.0,230.0,11490
100.0,231.0,4266
100.0,232.0,731
100.0,233.0,5696
100.0,234.0,9935
100.0,236.0,4303
100.0,237.0,6386
100.0,238.0,2409
100.0,239.0,3457
100.0,243.0,456
100.0,244.0,617
100.0,246.0,8792
100.0,249.0,5398
100.0,261.0,2022
100.0,262.0,1794
100.0,263.0,2605
107.0,4.0,4699
107.0,12.0,128
107.0,13.0,2958
107.0,24.0,404
107.0,41.0,707
107.0,42.0,600
107.0,43.0,2493
107.0,45.0,971
107.0,48.0,7716
107.0,50.0,2103
107.0,68.0,12082
107.0,74.0,1065
107.0,75.0,2093
107.0,79.0,21159
107.0,87.0,3890
107.0,88.0,1680
107.0,90.0,9340
107.0,100.0,8257
107.0,107.0,16578
107.0,113.0,10424
107.0,114.0,8760
107.0,116.0,335
107.0,120.0,43
107.0,125.0,3001
107.0,127.0,195
107.0,128.0,31
107.0,137.0,11736
107.0,140.0,4680
107.0,141.0,8712
107.0,142.0,4726
